id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
footprint	-0.2633	0.6597	2	368	1574	2010.881764
forcing	-0.6931	0.6476	4	814	8128	2009.576195
forecasts	-1.0427	0.4212	4	436	2198	2011.270248
forest	0.2807	-0.0428	1	979	11740	2009.036828
formation	0.6004	-0.2187	1	1157	15256	2008.321264
fossil	0.6033	-0.1439	1	344	1150	2008.55551
foundation	-0.5364	0.2717	3	427	1696	2010.923077
fourier	0.8659	0.22	2	262	780	2008.68
fraction	0.5588	0.4609	2	957	10078	2008.456562
fragments	0.3069	-0.2261	1	272	776	2008.17335
framework	-0.2154	0.277	3	683	4116	2011.28923
freeze-thaw	-1.1089	0.6268	4	388	1994	2011.765823
freeze-thaw cycles	-0.7389	-0.2521	4	339	1546	2011.156425
freeze-up	0.3688	0.242	2	331	1174	2009.512195
freezing	-0.7315	0.0765	4	1085	16312	2008.624187
frequency	0.061	-0.289	1	800	5312	2008.248973
freshwater	0.3696	-0.1894	1	741	5160	2009.714453
freshwater ecosystems	0.3385	-0.3639	1	310	1000	2011.675159
front	-0.7671	-0.5191	4	456	2506	2007.825421
frost	-0.3833	-0.2683	4	863	8244	2008.151163
frozen	-0.5258	0.2233	4	684	4468	2009.632275
frozen ground	-0.8252	0.1495	4	964	11738	2009.969977
frozen soil	-0.5234	0.5337	4	827	7300	2011.220109
fuel	-0.1984	0.2987	3	206	678	2009.266599
function	-0.0513	0.3214	3	848	6822	2008.530959
fusion	-0.7026	-0.3495	3	281	826	2008.521036
future	-0.2167	0.1221	3	1038	11280	2011.886201
future climate	0.0244	0.8561	4	657	4654	2012.298684
future research	-0.9773	0.0057	3	142	356	2011.822917
gap	-0.3698	-0.0173	3	704	4236	2011.364048
gas	0.5055	0.3988	2	1148	16840	2008.945001
gases	0.7114	0.5288	2	798	7226	2008.364299
gcm	-1.0215	0.404	4	346	1546	2006.636275
gene	1.2383	0.692	2	360	2164	2011.22908
general circulation model	-0.7485	-0.0295	4	282	1068	2008.289072
generation	-0.2228	-0.6496	1	661	4284	2009.018917
genesis	0.2341	-0.3059	1	318	1064	2008.06422
geochemistry	0.8776	-0.3803	1	542	2666	2008.657811
geographic	-0.0792	0.7757	3	155	380	2008.298551
geology	-0.0504	-0.5411	3	449	1854	2008.706341
geometry	-0.3738	-0.6714	3	432	2020	2008.870779
geomorphology	0.2129	-0.6182	1	558	3004	2010.528977
geophysical	-0.5893	-0.6589	3	484	2464	2008.193421
gis	-0.5434	-0.1804	3	452	2052	2010.110721
glacial	0.3409	-0.0405	1	354	1460	2009.051526
glacial maximum	0.2781	0.127	1	280	1008	2010.369629
glacial period	0.5539	-0.2661	1	185	502	2008.592528
glaciation	0.3778	-0.597	1	126	316	2007.663006
glacier	-0.2678	-0.3908	1	590	2940	2009.876697
glaciolacustrine	0.421	-0.86	1	143	394	2007.56701
global	-0.8868	0.3276	3	670	4170	2010.049364
global carbon cycle	0.5108	0.3914	2	453	1994	2011.111111
global change	0.1163	-0.2153	1	143	370	2008.177778
global climate	-0.2967	0.5642	4	640	4056	2010.399116
global climate models	-0.8799	0.7561	4	419	2070	2011.371941
global scale	-0.3043	0.2404	3	317	1028	2010.563923
global warming	-0.695	0.2089	3	299	1060	2011.050467
globe	-0.8703	-0.0532	3	206	594	2010.753165
government	-0.4976	-0.402	3	252	668	2012.723951
gpr	-0.7018	-0.6419	3	521	3464	2011.732203
gps	-0.5417	-0.7647	3	187	550	2011.397634
gradient	0.1105	0.0675	1	1123	13972	2008.605746
grain	0.8236	-0.4187	1	485	2158	2008.961122
grass	0.7607	0.1289	1	235	682	2008.05644
grassland	-0.0343	0.6437	2	694	5302	2010.189441
gravel	0.4138	-0.1948	1	405	1526	2007.15674
gravity	-0.8435	0.1856	4	185	508	2008.659201
grazing	0.2937	0.713	2	190	548	2006.518367
greenhouse	0.5968	0.6142	2	1098	16206	2010.141546
greenhouse gas	0.7022	0.5537	2	425	2014	2011.881188
greenhouse gas emissions	0.6178	0.6668	2	538	2738	2013.902597
greenhouse gases	0.6955	0.6547	2	686	5422	2010.01027
greenland	0.2947	0.2737	2	618	3660	2008.04131
grid	-0.7337	0.3271	3	546	3206	2008.514164
ground ice	0.2652	-0.7992	1	835	7956	2010.14557
ground surface	-0.8707	-0.2744	4	771	6920	2009.154412
ground temperature	-0.9749	-0.2383	4	916	12114	2011.059633
ground-based	-1.2204	-0.2644	3	181	482	2004.950739
groundwater	-0.0208	-0.5516	1	900	10226	2010.450902
group	0.449	0.4908	2	360	1184	2007.95978
growing	0.3412	0.7768	2	299	1212	2008.656915
growth	0.2803	-0.0366	1	1045	11228	2007.964687
h-2	0.7237	-0.2107	2	301	1060	2009.9319
habitat	0.3667	-0.246	1	678	4414	2009.660618
hand	-0.5349	0.431	4	354	1216	2008.390663
hazard	-0.9201	-0.0095	3	292	1030	2012.14876
head	0.2273	-0.9292	1	229	656	2007.610218
headwater	-0.008	-0.5723	1	369	1690	2010.967949
health	-0.1042	-0.4107	3	183	496	2011.42961
heat	-0.8631	0.1749	4	1185	25404	2008.894185
heat flow	-0.6895	-0.7352	1	190	586	2007.594595
heat flux	-0.9704	0.3959	4	398	2050	2008.44591
heat transport	-0.9391	-0.3431	4	291	1402	2010.233533
heath	0.841	0.8615	2	155	440	2007.240099
heave	0.1416	-0.3556	1	438	2012	2008.864583
height	-0.266	-0.1804	3	604	2928	2008.844619
hemisphere	-0.6782	0.4526	4	632	4288	2009.014397
heterogeneity	-0.0298	0.4823	2	862	7616	2010.395911
high arctic	0.3013	-0.2038	1	144	362	2007.091176
high latitudes	-0.154	0.3576	4	899	8186	2008.289567
high northern latitudes	-0.2363	0.6363	2	594	3496	2009.318267
high spatial resolution	-0.7116	-0.5417	3	390	1696	2011.610092
high-frequency	-0.6172	-0.5648	3	329	1048	2009.040142
high-latitude regions	-0.2105	0.219	4	379	1264	2011.291209
high-resolution	-0.4178	-0.416	3	938	8706	2010.248214
highway	-0.8955	-0.2533	3	479	2620	2011.645933
hills	0.5827	-0.3224	2	147	366	2005.973301
historical	-0.7139	-0.2944	3	403	1624	2009.214912
history	0.5566	-0.5624	1	594	3536	2008.523128
holocene	0.7373	-0.552	1	807	7746	2008.578947
homogeneity	0.3508	0.3455	2	164	416	2007.956912
horizon	0.7146	0.3108	2	602	3498	2008.766626
host	0.5546	-0.3272	1	186	468	2009.32804
hot spots	0.3321	0.577	2	262	888	2010.659218
hotspot	0.43	0.5012	2	311	1026	2011.734551
hudson	0.4986	-0.7003	1	437	2026	2006.643807
human activities	-0.5177	0.0945	3	454	2056	2011.12845
humans	0.146	-0.604	1	245	818	2010.156837
humidity	-0.8261	0.2838	4	175	502	2009.347264
hummocks	0.8613	0.0276	2	292	1120	2007.175758
hydrocarbons	0.2113	-0.274	1	186	496	2007.995356
hydrogen	1.1249	-0.0747	2	184	510	2008.430582
hydrological cycle	0.424	-0.5828	1	273	954	2010.619048
hydrological processes	-0.4892	-0.5395	4	594	4436	2013.13125
hydrology	-0.1617	-0.1854	1	1206	19524	2010.90501
hydrothermal	-1.1719	0.5128	4	250	998	2009.358896
hypotheses	0.1616	-0.1456	1	327	1084	2009.144207
hypothesis	0.1471	-0.1997	1	496	2188	2008.194871
hysteresis	-0.1793	0.7653	4	170	466	2008.317895
ice	0.1315	-0.5509	1	1413	37886	2008.860178
ice age	0.7203	-0.1942	1	258	882	2008.966337
ice conditions	-0.4633	-0.8344	1	168	478	2010.267606
ice sheet	-0.441	-0.329	3	248	754	2008.394118
ice thickness	-0.3776	-0.9118	1	270	966	2009.211783
identification	-0.2443	-0.5039	3	512	2200	2009.939059
imagery	-0.374	-0.736	3	874	9400	2010.027404
images	-0.5427	-0.6576	3	960	11564	2009.851773
impact	-0.1787	0.0971	4	1431	38034	2011.1545
implementation	-0.8448	0.255	3	386	1484	2012.128733
implications	0.3196	0.0314	2	1043	11880	2008.957655
improvement	-0.9064	0.569	4	600	3900	2010.609009
incidence	-0.8399	-0.6634	3	235	690	2007.699477
inclusion	-0.4836	0.278	4	450	1886	2008.715721
incorporation	0.6017	0.1251	2	377	1202	2007.639228
increment	-0.1566	0.5387	2	254	884	2008.184071
incubation	1.15	0.7756	2	577	5060	2007.891648
index	-0.6434	0.4867	4	929	10298	2009.733438
indices	-0.2565	0.0783	3	1026	10986	2009.479934
individuals	0.2254	-0.8641	1	204	576	2008.750418
industry	-0.1197	-0.6244	1	155	470	2011.629501
inertia	-0.8028	1.1639	4	148	446	2008.902439
inference	-0.6315	-0.6544	3	172	444	2010.406107
infiltration	-0.4394	-0.1526	4	571	3862	2009.361111
inflow	0.4177	-0.6488	1	289	932	2008.946292
influence	0.1103	0.1774	4	1269	21144	2009.717142
information	-0.3603	-0.2981	3	1102	12702	2009.67229
infrastructure	-0.6393	-0.4587	3	729	6092	2013.719864
inhibition	0.8191	1.0052	2	190	550	2008.537199
initial conditions	-0.7437	0.0574	4	193	552	2009.632653
initiation	0.2415	-0.831	1	582	3268	2008.403696
inland	-0.2999	0.0955	4	514	2440	2008.910801
inorganic carbon	1.1636	-0.1029	2	250	884	2009.536776
inorganic nitrogen	1.1256	-0.1018	2	253	780	2007.712821
insar	-1.0763	-0.6398	3	233	1048	2011.974684
insight	0.4986	-0.2942	1	510	2032	2011.173112
insolation	0.3397	-0.6128	1	204	514	2009.002281
instability	-0.3406	-0.4859	1	346	1212	2008.089958
instrument	-0.6543	-0.1304	3	562	2712	2008.390639
insulation	-1.0313	0.5565	4	445	2680	2009.309609
integration	-0.3205	0.2335	3	615	3316	2009.403182
intensification	0.4284	-0.7014	1	263	916	2009.809342
intensity	-0.1222	-0.4059	1	675	3792	2008.970237
inter-annual variability	0.0547	-0.6366	1	201	592	2011.49187
interactions	0.1959	0.39	2	1097	14102	2009.581424
interannual	-0.0136	0.5023	2	269	948	2007.764706
interannual variability	-0.0903	0.0316	1	315	1098	2009.34307
interannual variations	-0.4809	0.6495	4	366	1542	2009.136035
intercomparison	-0.9138	0.762	4	495	3422	2012.078383
interests	-0.7586	-0.1106	3	102	270	2010.881919
interface	-0.1495	-0.125	3	621	2988	2008.784137
interior	0.5515	-0.2271	1	607	3456	2008.54476
intermediate	0.0737	0.1191	4	195	524	2007.526971
internal structure	-0.4057	-0.8542	1	134	378	2010.208835
international	-0.7969	-0.0761	3	400	1750	2009.154964
interpolation	-0.768	0.1376	3	244	742	2009.545906
interpretation	-0.2442	-0.706	1	585	2992	2007.927664
introduction	0.3278	-0.266	2	156	394	2009.308432
inundation	-0.3388	-0.2851	3	430	2000	2010.050691
inventory	0.45	-0.0301	1	583	3082	2010.281274
inversion	-0.2835	0.4027	3	498	2488	2008.510833
ion	0.8661	-0.3863	1	550	3100	2007.645552
ipcc	-0.431	0.945	4	299	1150	2010.65261
ipy	-0.7512	-0.2035	3	134	416	2011.458065
iron	1.0592	0.6181	2	402	1942	2009.213959
island	0.3191	-0.5403	1	844	7336	2007.713057
isotherm	-0.722	0.4016	4	194	598	2006.881579
isotope	0.8464	-0.4294	1	869	9480	2009.3991
isotopic composition	0.7067	-0.5926	1	298	1102	2008.662021
isotopic data	0.6092	-0.7365	1	187	506	2007.157895
john	-0.1464	-0.6508	1	1111	15736	2007.984218
joint	-0.8343	1.0843	4	199	684	2008.422145
kangerlussuaq	-0.2292	0.4236	3	195	552	2009.850515
