id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
ice monitoring	-0.4785	0.3002	1	433	1718	17	2011.761905
ice motion	-1.277	0.4869	1	99	242	3	2009.975904
ice navigation	-0.4151	0.7555	1	234	706	7	2012
ice probability	-1.2764	0.4603	1	114	356	3	2015.428571
ice properties	-0.6	0.0607	1	139	344	4	2012.084507
ice radar	-0.614	-0.2232	1	98	230	3	2011.105263
ice ridges	-0.5688	-0.2576	1	69	150	2	2006.705882
ice sensing	-0.9396	-0.639	1	110	280	3	2013.5
ice sheet	-0.1878	-0.5011	1	251	798	10	2012.194459
ice shelf	-0.557	-0.3404	1	81	194	3	2011.573026
ice surface	-0.6356	-0.3477	1	451	1610	15	2011.816258
ice surface roughness	-0.6569	-0.3883	1	85	198	2	2010
ice surface temperature	-1.1842	-0.5798	1	123	280	2	2011.140845
ice texture	0.6978	0.5563	2	155	448	6	2005.5
ice thickness	-0.7413	-0.2609	1	496	2038	22	2011.271053
ice thickness measurements	-0.2283	-0.3443	1	77	194	2	2011.4
ice type classification	-1.0647	-0.2948	1	173	432	3	2016.75
ice types	-0.1366	0.5791	2	785	5594	61	2009.285714
ice zone	-0.3711	0.7963	2	295	1076	11	2011.325359
ice-cover	-0.5188	0.0736	1	442	1572	14	2011.210019
ice-ocean	-1.2589	0.4738	1	99	274	2	2009
iceberg detection	-0.3156	0.656	1	232	734	8	2013.8
icebergs	-0.185	0.5177	1	277	890	10	2011.523585
icebreaker	-0.7286	0.5462	1	165	424	4	2009.3875
icesat	-1.0364	-0.9065	1	106	240	2	2012.032558
identification	-0.1755	0.2682	1	464	1690	19	2011.944837
image analysis	0.1527	0.1845	2	396	1506	16	2011.573171
image classification	0.7055	0.1278	2	440	1794	21	2010.684211
image data	0.6557	0.1585	2	220	662	8	2008.617647
image fusion	0.3767	0.1475	2	118	328	3	2016.666667
image processing	0.73	-0.4397	3	304	990	11	2009.682927
image segmentation	0.5959	0.8441	2	235	898	13	2009.958333
image texture	0.7019	0.5279	2	250	970	13	2006.705882
imagery	0.3231	0.2355	2	1047	8134	93	2011.982143
images	0.2477	0.2524	2	1367	15756	188	2011.32506
imaging	-0.1637	-0.1599	2	462	1702	18	2012.991398
imbalance	-0.7507	0.2766	1	72	156	2	2012.174242
impact	0.3455	-0.2158	3	575	2402	26	2013.206627
implementation	0.3471	-0.2027	1	380	1210	12	2013.145907
implications	0.4034	-0.4838	3	176	382	4	2011.871583
improvement	0.1808	0.2578	2	568	2398	27	2012.529851
in-situ	-0.32	-0.7745	1	128	298	3	2013.712
in-situ measurements	-0.3363	-0.6167	1	90	192	2	2013.9
incidence	-0.4488	-0.1205	1	690	4118	43	2011.204819
incidence angle	-0.5061	-0.1695	1	609	3520	37	2013.020833
incidence angle correction	-1.0788	0.4989	1	143	364	3	2016.666667
incidence angle effect	0.6493	-0.4099	3	118	300	3	2015.333333
inclusion	-0.2864	0.4399	1	59	124	2	2010.77907
incoherent	-0.7861	-0.6476	1	66	174	2	2006.333333
independence	-0.8088	-0.3997	1	118	246	2	2011.857143
index	0.2984	0.0671	2	402	1306	17	2011.380952
indices	0.1741	-0.3741	3	282	824	10	2012.102711
individuals	-0.4689	-0.3204	1	99	212	2	2011.172646
inertia	-0.1203	1.071	2	101	218	2	2011.8
influence	-0.381	-0.3605	1	236	608	6	2011.779275
information	0.0566	0.346	2	1179	9342	106	2011.767792
information content	-0.584	0.3291	1	99	228	2	2010.857143
information entropy	0.3187	0.8736	2	40	88	2	2008.5
information systems	0.4588	0.1592	3	130	296	3	2010.212121
infrastructure	0.5957	-0.0051	1	220	720	8	2014.216606
initialization	-0.1557	1.0229	2	74	170	2	2013.963636
initiation	0.2147	0.6531	2	60	148	2	2010.927536
injection	-0.6287	-0.1019	1	71	176	2	2011.807018
innovations	-0.6213	-0.0226	1	82	170	2	2014.44
insight	0.6334	0.4699	2	87	198	3	2012.936061
insolation	1.0087	-0.9505	3	84	232	2	2010.586826
inspection	-0.0229	0.3974	2	188	552	8	2012.125
installation	-0.1886	-0.4353	1	118	284	3	2011.6
instrument	-0.5218	-0.4424	1	448	1734	17	2011.288956
instrument noise	-1.1281	0.3946	1	94	208	2	2013.2
instrumentation	0.4437	0.7873	2	146	366	4	2011.546875
integral equation	-0.6894	-0.6695	1	110	286	3	2007.666667
integration	0.148	0.0474	1	261	738	8	2010.47619
intensity	-0.2148	0.5976	2	516	2374	27	2011.663823
interactions	-0.088	-0.0094	1	335	952	10	2011.626733
interface	0.1326	-0.3629	1	272	732	8	2010.689655
interference	0.4706	0.7987	2	107	236	3	2012.875
interferometric sar	-0.6326	-0.7215	1	76	164	2	2012.111111
interferometry	0.6433	0.122	1	51	108	2	2010
international	0.2347	0.5011	2	187	468	5	2009.59081
interpolation	-0.1126	0.7066	2	59	124	2	2012.42515
interpretation	0.2121	0.3744	2	455	1744	21	2010.411609
introduction	0.0207	-0.3851	1	124	264	3	2010.370629
inversion	-0.3068	0.274	1	232	616	7	2010.501809
investment	0.0505	0.0832	1	77	156	2	2013.355932
ireland	0.3068	-0.7071	3	73	150	2	2008.076923
island	0.6883	-0.5478	3	391	1400	16	2009.956692
isostatic adjustment	-0.1552	-1.1086	1	80	172	2	2012.225058
japan	-0.0104	-0.3668	1	77	178	3	2010.171958
jet	0.341	-0.1103	2	151	390	4	2011.139834
jet propulsion	0.59	0.2567	2	106	278	3	2007.4
k-distribution	0.1995	1.0032	2	113	312	4	2005.25
k-means	0.7097	0.9912	2	107	270	3	2013.393939
k-means clustering	0.6964	1.2074	2	66	174	2	2004.5
kalman	-0.1593	-0.9248	1	86	190	2	2013.5
kalman filter	-0.16	-0.9248	1	86	190	2	2013.882353
kappa	0.5642	0.0542	2	126	338	5	2011.740741
kara	-0.6489	-0.0491	1	123	314	3	2011.634058
kara seas	-0.6492	-0.0477	1	123	314	3	2012.917722
kernel	0.7507	0.8423	2	158	420	5	2013.347826
key	0.0157	0.4857	1	121	268	3	2013.075472
knowledge	0.2552	-0.1586	1	403	1330	17	2012.895394
kolmogorov-smirnov	0.1103	1.2996	2	113	278	3	2013.8
kongsfjorden	-0.5942	0.2923	1	84	188	2	2014.727273
korean peninsula	0.2146	0.6542	2	60	148	2	2013.48
kurtosis	-0.1167	0.6835	2	85	184	2	2009.7
l-band	-0.3239	-0.471	1	589	2778	29	2013.80597
l-band sar	-0.6167	-0.3883	1	301	1028	11	2013.411765
labels	0.681	0.736	2	205	654	8	2012.642857
laboratory	0.6087	0.0052	2	163	452	5	2010.526248
labrador	0.0536	0.6892	2	207	620	8	2008.853808
labrador sea	-0.1159	1.0652	2	94	234	3	2008.747813
lake	0.5675	-0.3019	3	304	958	12	2012.017794
lake area	1.2629	-0.7701	3	59	178	2	2013.272727
lake ice	0.0244	-0.2364	2	174	448	5	2010.060606
land	0.1043	-0.3745	3	654	3134	34	2012.42268
land cover	0.6659	-0.2481	3	338	1162	13	2013.554795
land cover classification	0.7646	-0.2419	3	52	122	2	2013.414634
land cover mapping	0.3115	0.4707	2	89	224	3	2013.25
land ice	-1.0416	-0.4491	1	65	160	2	2013.564935
land surface	-0.5003	-0.9538	1	144	378	4	2013.553603
landsat	0.8291	-0.4422	3	336	1166	13	2012.128767
landsat thematic mapper	0.9941	-0.4788	3	59	128	2	2008.272727
landsat tm	0.5558	-0.2283	2	145	366	4	2008.651163
landsat-7	1.2084	-0.5791	3	102	244	3	2010.814815
landsat-8	1.0241	-0.8471	3	113	330	4	2017.326087
landsat-8 oli	1.1126	-0.9154	3	74	174	2	2017.5
landscape	0.6019	-0.6999	3	164	392	4	2013.677302
language	0.0523	-0.8804	3	143	356	3	2018.048117
laptev sea	0.675	0.1839	2	72	164	2	2011.257143
large-scale	-0.1608	-0.3755	1	142	316	4	2011.165527
laser	-1.0155	-0.4759	1	149	356	3	2011.969194
late summer	-0.4625	-0.2187	1	192	494	5	2011.54902
latitude	0.7063	-0.6201	3	302	972	9	2011.054819
lawrence	-0.2403	0.7753	1	213	608	6	2010.132653
layer	0.1809	-0.301	3	393	1268	16	2010.321275
lead	-0.3649	0.0435	1	348	1096	12	2010.716069
learning	0.4481	0.3961	2	458	1894	23	2015.15493
least-squares	-0.0935	1.5912	2	79	210	3	2011.637363
length	-0.0989	1.0553	2	161	468	8	2010.5328
les	0.7311	-0.3874	3	92	202	2	2010.897959
level ice	-0.8777	-0.3213	1	227	612	6	2011.739837
levels	0.5301	-0.2518	3	367	1124	13	2011.25209
lidar	-0.0805	-0.7133	1	184	474	5	2012.729064
life	0.3618	-0.4947	1	128	296	3	2011.876747
light	0.0214	-0.295	1	189	454	5	2011.753582
likelihood	0.571	0.1754	3	464	2050	25	2011.660944
likelihood ratio	0.6316	0.8823	2	79	178	2	2014.5
likelihood ratio test	0.6326	0.8814	2	79	178	2	2014.666667
