id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
surface roughness	-0.7926	-0.7763	1	209	704	2008.125581
surface temperature	-0.2651	0.9507	3	460	2596	2009.023148
surface topography	-0.6157	-0.2555	1	423	1894	2008.064103
surface waters	0.8833	-0.2929	4	381	1578	2008.120883
surge	0.2341	0.1186	5	621	4348	2008.136111
survey	-0.2999	-0.3735	1	1000	13528	2009.037248
svalbard	-0.0316	-0.0059	6	974	14162	2009.557134
swe	-0.6252	-0.0628	6	209	624	2013
sweden	-0.4697	0.1634	2	132	340	2007.514793
switch	1.2583	-0.241	4	136	368	2009.291908
switzerland	-0.4635	-0.7231	2	333	1272	2008.778646
synthesis	-0.4234	-0.8772	2	226	652	2009.662722
synthetic	-1.0117	-0.3158	1	284	1030	2009.089404
synthetic aperture radar	-1.0843	-0.128	1	454	2592	2009.032432
system	0.0328	-0.2976	2	1304	35128	2009.608581
system models	0.0608	0.7943	3	275	1198	2015.404444
table	-0.727	-0.8627	6	213	732	2008.675978
techniques	-0.7043	-0.3002	1	1012	13498	2007.972333
technology	-0.7378	-0.3165	1	473	2370	2011.429895
temperate	0.5265	-0.5406	2	551	3796	2008.513385
temperature	0.2029	0.5089	3	1327	47602	2008.94464
temperature changes	0.5996	0.5984	3	231	756	2008.59375
temperature data	0.0817	0.4283	3	237	682	2008.432653
temperature increase	0.2138	1.2519	3	150	464	2009.516234
temperature measurements	-0.276	-0.5074	6	192	578	2007.553459
temperature profiles	0.913	-0.635	2	187	650	2006.951852
temperature variability	0.3513	0.825	5	175	532	2011.231959
template	-0.6975	-0.1121	1	224	658	2010.42236
temporal	-0.3641	-0.5146	2	303	970	2008.152526
temporal changes	-0.8643	-0.2095	1	269	946	2009.507895
temporal distribution	-0.5096	-0.5108	6	178	512	2008.315315
temporal evolution	-0.5446	-0.0144	6	336	1300	2010.339109
temporal patterns	0.6274	0.5131	4	175	512	2009.576433
temporal resolution	-0.767	-0.3053	1	416	1814	2010.931953
temporal variability	-0.5056	0.7051	3	473	2524	2009.54638
temporal variations	-0.3774	0.4367	3	400	1778	2008.891602
term	-0.0148	0.0083	4	578	3126	2008.827225
terminus	0.6459	-0.7322	2	947	16116	2010.435852
terms	-0.285	-0.0508	1	731	4832	2008.49203
terra	-0.5792	0.6053	1	235	774	2006.634218
terrain	-0.8786	-0.0524	1	663	4860	2009.112619
terrestrial	-0.4602	-0.0349	1	300	1040	2008.824144
texture	-0.4091	-0.015	1	225	642	2007.458888
thaw	0.1313	-0.4504	2	164	430	2011.976068
theory	0.3443	-0.6794	2	535	3148	2008.181946
thermal	-0.5291	0.2145	1	512	2742	2009.266307
thermal regime	-0.0331	-0.171	6	199	594	2010.067485
thermodynamics	0.203	0.4367	3	275	886	2008.389098
thermohaline circulation	0.9794	0.7431	4	132	398	2004.768987
thickness	-0.1441	-0.6257	2	1049	17732	2008.754418
thinning	0.27	0.1436	5	835	11692	2009.590299
threat	0.4798	-0.2461	4	156	390	2012.027911
threshold	-0.7013	0.058	1	623	4302	2010.539227
tidal	0.9762	-0.5697	4	212	736	2007.14959
tidal currents	0.8176	-0.529	4	169	458	2007.42487
tides	0.6941	-0.882	4	344	1838	2008.175266
tidewater	0.8943	-0.3435	4	982	17558	2010.934831
tidewater glaciers	0.9235	-0.3972	4	820	9914	2012.511962
till	0.3953	-0.8728	2	297	1160	2006.793544
time	-2e-04	0.0127	5	1363	48060	2008.831798
time scales	0.6869	-0.3299	2	464	2484	2008.537809
time series	-0.6047	0.477	3	786	7438	2009.734317
timescales	0.6385	-0.1067	2	773	7002	2010.244177
tip	-0.3449	-0.7096	2	199	608	2008.028302
tm	-0.5173	0.5135	1	232	852	2007.895425
tongue	0.6721	-0.5702	2	651	5430	2008.374502
tools	-0.7011	-0.0802	1	486	2436	2011.918196
topographic	-1.017	-0.5628	1	470	2890	2009.511628
topography	-0.3177	-0.2994	1	1049	16494	2008.703566
total number	0.0367	-0.1239	2	135	328	2008.215054
trace	-0.1394	-1.0751	2	157	400	2007.662102
tracer	0.3921	-0.4264	4	310	1204	2007.33904
tracing	-0.6466	-0.1623	1	167	466	2009.75
track	-0.8483	-0.2425	1	706	6000	2008.851477
trajectories	0.1933	-0.3211	1	318	1114	2008.784052
transect	-0.0588	-0.4535	6	543	3208	2007.990277
transfer	-3e-04	-0.6823	2	566	3452	2008.40464
transformation	-0.5806	-0.2326	1	322	1144	2009.214985
transient	-0.0347	-0.0771	2	462	2214	2009.22961
transition	-0.0268	-0.5363	6	707	5246	2009.289721
transmission	-0.1471	-0.7138	1	283	940	2008.441938
transport	0.7931	-0.2661	4	754	6696	2008.638472
travel	-0.4739	-0.674	6	267	916	2008.209898
traverse	-0.7893	-0.3817	6	208	812	2007.585366
treatment	0.5514	-0.0877	2	324	1270	2008.987517
tree rings	0.6471	0.3025	5	116	376	2009.350829
trees	0.3308	0.2915	5	202	582	2009.293127
trends	-0.233	0.7626	3	1053	19290	2009.691924
tributaries	0.0317	-0.2133	5	310	1036	2008.939024
trigger	0.9152	-0.6585	4	336	1580	2010.216495
trough	0.8152	-0.4576	4	449	2560	2008.165586
tsunami	-0.0726	-0.9267	1	130	358	2011.230769
tundra	0.1795	0.6445	3	217	662	2009.070476
turbidity	0.4931	-0.2638	4	313	1050	2006.591633
turnover	-0.0041	0.8719	5	209	622	2008.839506
twentieth century	0.3359	0.9059	3	276	1166	2010.49537
types	-0.2211	-0.2662	1	677	4112	2008.677962
uncertainty	-0.207	0.4423	3	1048	16522	2011.023214
underwater	0.4411	-1.0741	2	114	314	2009.522911
university	-0.0877	0.0128	5	347	1214	2007.852518
uplift	-0.1991	-1.0067	2	390	2292	2006.856502
upstream	0.2053	-1.0269	2	453	2526	2008.743219
upwelling	1.1357	-0.2528	4	212	828	2008.768927
usa	0.2824	-0.3188	5	615	3970	2008.230569
utilization	-0.4862	-0.056	1	361	1358	2009.166837
validation	-0.8841	0.1649	1	712	5728	2010.014759
valley	-0.3083	-0.2074	5	656	5016	2008.373746
values	-0.1295	0.1851	1	1142	19120	2008.134938
variability	0.1035	0.4322	3	1254	33324	2009.910572
variance	-0.5848	0.5886	3	307	1158	2008.262238
variations	-0.0361	0.1369	2	1215	29214	2008.23722
vatnajokull	0.0107	-0.8999	2	214	846	2008.010256
vector	-0.7929	-0.1407	1	339	1180	2009.067811
vegetation	-0.6867	-0.2418	1	468	2356	2009.373552
vehicles	-0.2665	-0.4758	1	145	384	2011.334764
velocity	-0.0508	-0.6729	2	1214	33960	2008.229763
velocity field	-0.8225	-0.164	1	152	438	2007.679739
verification	-0.2313	-0.3891	6	312	970	2010.208038
vertical	-0.1141	-0.9073	2	294	1086	2006.365209
vertical profiles	-0.5795	-0.2598	6	183	522	2007.685761
vertical structure	0.4776	-0.5842	4	164	462	2008.841667
video	0.133	-0.8269	2	203	596	2009.312925
viscosity	0.3354	-0.7622	2	310	1220	2007.238586
volcano	-0.0282	-0.1939	2	219	606	2009.385534
volume	-0.0486	0.2475	5	1193	28680	2008.390878
vulnerability	0.8404	0.2727	5	245	874	2012.434676
wales	-0.7132	1.0751	3	156	502	2007.219585
walls	0.7298	-0.4741	5	281	946	2008.015949
warm period	0.5445	0.9469	3	196	626	2009.606838
warming	0.565	0.5442	3	1154	22408	2011.01791
washington	0.2317	0.0018	5	137	344	2005.96393
water	0.4001	-0.3372	4	1364	56074	2008.522927
water column	1.137	-0.3375	4	221	786	2007.355227
water content	-0.3591	-0.7147	6	257	916	2008.305668
water depth	0.8087	-0.8086	5	287	1286	2007.9
water flow	-0.0576	-0.7533	6	342	1382	2008.849765
water level	-0.3793	-0.8903	2	205	614	2008.961538
water masses	1.1514	-0.3472	4	284	1286	2008.184401
water properties	0.3631	-0.6561	4	175	520	2009.563291
water resources	-0.7799	0.395	1	268	944	2013.543269
water table	-0.705	-1.0409	6	139	432	2007.419689
water temperature	0.7711	-0.7471	4	243	872	2008.738971
watersheds	0.2583	0.4768	4	186	506	2010.799687
wave	0.1864	-0.7128	2	716	5146	2008.774981
waveform	-0.6367	-0.7157	1	490	3082	2009.117166
wavelength	-0.869	-0.3244	1	189	490	2006.776718
wavelet	-1.0284	-0.3653	1	185	560	2011.090379
weather	-0.1545	0.6326	3	849	9242	2009.837145
weight	-0.2186	-0.8675	2	198	554	2006.661831
west greenland	0.4944	-0.3764	2	148	406	2004.037736
wetness	-0.9549	-0.0988	1	232	758	2010.75
white	-0.5783	0.7048	5	191	600	2007.871587
wind	0.523	0.2793	4	756	6174	2008.553573
window	-0.7525	-0.6807	1	206	556	2010.073654
winter	0.2624	0.1063	4	1094	17964	2008.309773
winter precipitation	-0.0744	0.9746	5	195	660	2010.462094
winter season	-0.3872	-0.2232	6	279	864	2009.407595
wintertime	0.3507	-0.9437	6	262	942	2009.628342
work	-0.1835	0.0464	5	761	5614	2010.485608
world	0.1025	0.3087	1	724	5524	2009.680768
worldwide	-0.8043	0.1479	1	208	628	2011.221441
yield	0.0413	-0.6142	2	332	1324	2007.793478
young	1.0983	-0.2051	4	185	598	2008.610592
yukon	-0.8185	-0.0974	1	275	952	2008.592034
zemlya	-0.6518	1.112	3	276	1338	2007.96
zone	-0.0065	-0.153	6	1112	19052	2007.966537
